,ภาค,จังหวัด,เพศ,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564
0,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,รวม,818901.0,782129.0,776370.0,736352.0,704058.0,702755.0,666109.0,618193.0,587368.0,544570.0
1,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ชาย,421952.0,403022.0,399852.0,378037.0,362395.0,362510.0,343099.0,317708.0,302836.0,280551.0
2,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,หญิง,396949.0,379107.0,376518.0,358315.0,341663.0,340245.0,323010.0,300485.0,284532.0,264019.0
3,กรุงเทพมหานคร,กรุงเทพมหานคร,รวม,105570.0,101008.0,99618.0,95551.0,92030.0,90904.0,84477.0,77312.0,70973.0,61604.0
4,กรุงเทพมหานคร,กรุงเทพมหานคร,ชาย,54362.0,52341.0,51190.0,49172.0,47336.0,46838.0,43356.0,39976.0,36759.0,31973.0
5,กรุงเทพมหานคร,กรุงเทพมหานคร,หญิง,51208.0,48667.0,48428.0,46379.0,44694.0,44066.0,41121.0,37336.0,34214.0,29631.0
6,ภาคกลาง,ภาคกลาง,รวม,216224.0,208769.0,211696.0,201675.0,193706.0,193726.0,182292.0,166533.0,159053.0,147725.0
7,ภาคกลาง,ภาคกลาง,ชาย,111728.0,108063.0,109199.0,103437.0,100230.0,100170.0,94089.0,85637.0,82102.0,76001.0
8,ภาคกลาง,ภาคกลาง,หญิง,104496.0,100706.0,102497.0,98238.0,93476.0,93556.0,88203.0,80896.0,76951.0,71724.0
9,ภาคกลาง,สมุทรปราการ,รวม,17250.0,16597.0,16777.0,15838.0,15196.0,15026.0,13934.0,12545.0,12126.0,11564.0
10,ภาคกลาง,สมุทรปราการ,ชาย,8945.0,8669.0,8669.0,8240.0,7900.0,7771.0,7211.0,6398.0,6348.0,6040.0
11,ภาคกลาง,สมุทรปราการ,หญิง,8305.0,7928.0,8108.0,7598.0,7296.0,7255.0,6723.0,6147.0,5778.0,5524.0
12,ภาคกลาง,นนทบุรี,รวม,11724.0,10724.0,10451.0,10156.0,9991.0,9849.0,9230.0,8260.0,8091.0,7625.0
13,ภาคกลาง,นนทบุรี,ชาย,5988.0,5505.0,5381.0,5263.0,5209.0,5114.0,4768.0,4232.0,4172.0,3928.0
